Cell_ID,cell_name,Patient_Old,Patient,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,BlacklistRatio,Location,ReadsInPeaks,FRIP,Clusters_type
COAD13-nofacs#COAD13_T_A_50_50,COAD13_T_A_50_50,COAD13-nofacs,P09,15.635,37298,38397,4190,0.255092279,1,1.764306178,0,27226,75261,48035,0.027836462,Normal,81846,0.545872906,B
COAD13-nofacs#COAD13_T_A_41_41,COAD13_T_A_41_41,COAD13-nofacs,P09,16.386,36807,37476,3725,0.249092722,1,1.88350966,0,26088,75225,49137,0.024759056,Normal,81214,0.540532985,B
COAD13-nofacs#COAD13_T_B_22_118,COAD13_T_B_22_118,COAD13-nofacs,P09,14.974,30876,32455,4236,0.215771138,1,2.167277322,0,23745,75207,51462,0.028162272,Normal,71199,0.474520807,B
COAD13-nofacs#COAD13_T_A_53_53,COAD13_T_A_53_53,COAD13-nofacs,P09,14.58,35076,35570,3339,0.236836498,1,2.130742933,0,23986,75094,51108,0.022232136,Normal,78842,0.525837691,B
COAD13-nofacs#COAD13_T_D_26_314,COAD13_T_D_26_314,COAD13-nofacs,P09,15.028,34531,34771,2798,0.231723246,1,2.070724021,0,24433,75027,50594,0.018646621,Normal,76508,0.511020866,B
COAD13-nofacs#COAD13_T_D_65_353,COAD13_T_D_65_353,COAD13-nofacs,P09,16.678,37184,36808,2860,0.245629021,1,1.690920845,0,27844,74926,47082,0.019085498,Normal,81470,0.545482545,B
COAD13-nofacs#COAD13_T_A_95_95,COAD13_T_A_95_95,COAD13-nofacs,P09,13.842,32903,34482,3978,0.230590218,1,1.795834424,0,26743,74769,48026,0.026601934,Normal,79011,0.529394029,B
COAD13-nofacs#COAD13_T_A_58_58,COAD13_T_A_58_58,COAD13-nofacs,P09,14.034,29441,30005,4189,0.200739938,1,1.919260966,0,25601,74736,49135,0.028025316,Normal,66917,0.449336574,B
COAD13-nofacs#COAD13_C_C_54_246,COAD13_C_C_54_246,COAD13-nofacs,P09,13.028,25625,26998,2795,0.18072886,1,3.300552741,0,17368,74692,57324,0.01871017,Cancer,65719,0.441037514,B
COAD13-nofacs#COAD13_T_B_10_106,COAD13_T_B_10_106,COAD13-nofacs,P09,15.146,35122,35686,2815,0.239349144,1,1.740533784,0,27202,74548,47346,0.018880453,Normal,80399,0.540199688,B
COAD13-nofacs#COAD13_T_A_93_93,COAD13_T_A_93_93,COAD13-nofacs,P09,15.284,29801,29725,3027,0.199386915,1,2.257483722,0,22883,74541,51658,0.020304262,Normal,70021,0.470602863,B
COAD13-nofacs#COAD13_T_A1_66_66,COAD13_T_A1_66_66,COAD13-nofacs,P09,15.206,34226,34823,3299,0.233661227,1,1.791070492,0,26698,74516,47818,0.022136186,Normal,80959,0.54440858,B
COAD13-nofacs#COAD13_T_C1_2_194,COAD13_T_C1_2_194,COAD13-nofacs,P09,13.671,33622,35300,3693,0.237036838,1,2.018403665,0,24669,74461,49792,0.024798217,Normal,79156,0.532348748,B
COAD13-nofacs#COAD13_T_D_69_357,COAD13_T_D_69_357,COAD13-nofacs,P09,15.907,36141,36178,4195,0.242961908,1,1.941720337,0,25309,74452,49143,0.028172514,Normal,80674,0.542930211,B
COAD13-nofacs#COAD13_T_A1_93_93,COAD13_T_A1_93_93,COAD13-nofacs,P09,13.856,28367,29619,4510,0.1992935,1,2.126998822,0,23764,74310,50546,0.030345848,Normal,65818,0.443810603,B
COAD13-nofacs#COAD13_T_C_21_213,COAD13_T_C_21_213,COAD13-nofacs,P09,14.81,31278,31437,3236,0.211657061,1,1.845036969,0,26103,74264,48161,0.021787138,Normal,76128,0.513497106,B
COAD13-nofacs#COAD13_T_D_21_309,COAD13_T_D_21_309,COAD13-nofacs,P09,14.886,30055,31636,4708,0.213169101,1,1.813635157,0,26373,74204,47831,0.031723357,Normal,64095,0.433261681,B
COAD13-nofacs#COAD13_T_D_22_310,COAD13_T_D_22_310,COAD13-nofacs,P09,15.802,34297,34545,3352,0.23284892,1,1.975491376,0,24930,74179,49249,0.022593996,Normal,78795,0.531967324,B
COAD13-nofacs#COAD13_T_A1_20_20,COAD13_T_A1_20_20,COAD13-nofacs,P09,13.885,30635,31783,3032,0.215334896,1,1.672714762,0,27612,73799,46187,0.020542284,Normal,74197,0.503419592,B
COAD13-nofacs#COAD13_T_C1_62_254,COAD13_T_C1_62_254,COAD13-nofacs,P09,14.172,31540,33239,2964,0.225263629,1,2.126981436,0,23594,73778,50184,0.020087289,Normal,75669,0.513727647,B
COAD13-nofacs#COAD13_T_D_8_296,COAD13_T_D_8_296,COAD13-nofacs,P09,14.939,34689,35802,3278,0.2429989,1,1.746206897,0,26825,73667,46842,0.022248768,Normal,79902,0.54353623,B
COAD13-nofacs#COAD13_T_A1_91_91,COAD13_T_A1_91_91,COAD13-nofacs,P09,15.502,35055,34564,2652,0.234634444,1,1.920731224,0,25218,73655,48437,0.018002851,Normal,77553,0.527707843,B
COAD13-nofacs#COAD13_T_A1_79_79,COAD13_T_A1_79_79,COAD13-nofacs,P09,13.877,31255,31587,3008,0.214503993,1,1.94606274,0,24992,73628,48636,0.020427011,Normal,75087,0.510684749,B
COAD13-nofacs#COAD13_T_A1_48_48,COAD13_T_A1_48_48,COAD13-nofacs,P09,13.923,34993,36500,3283,0.247975433,1,1.649530187,0,27777,73596,45819,0.022304201,Normal,81704,0.556006206,B
COAD13-nofacs#COAD13_T_C1_79_271,COAD13_T_C1_79_271,COAD13-nofacs,P09,12.108,24042,25776,2739,0.175389891,1,2.473669282,0,21154,73482,52328,0.018637217,Normal,64618,0.441072477,Myeloid
COAD13-nofacs#COAD13_T_A1_90_90,COAD13_T_A1_90_90,COAD13-nofacs,P09,15.084,27704,27932,4227,0.190352874,1,1.567414354,0,28577,73369,44792,0.028806444,Normal,57065,0.389735009,B
COAD13-nofacs#COAD13_T_A_5_5,COAD13_T_A_5_5,COAD13-nofacs,P09,14.471,33032,33499,3294,0.228503022,1,1.986027375,0,24548,73301,48753,0.022468998,Normal,76374,0.521944152,B
COAD13-nofacs#COAD13_T_D_63_351,COAD13_T_D_63_351,COAD13-nofacs,P09,13.285,25970,28491,3957,0.194730367,1,2.34270048,0,21885,73155,51270,0.027045315,Normal,61106,0.418471189,B
COAD13-nofacs#COAD13_T_D_68_356,COAD13_T_D_68_356,COAD13-nofacs,P09,15.028,32413,33733,3050,0.230706626,1,1.905954368,0,25158,73108,47950,0.02085955,Normal,76624,0.524965744,B
COAD13-nofacs#COAD13_C_C_86_278,COAD13_C_C_86_278,COAD13-nofacs,P09,11.539,24125,25919,2734,0.17754199,1,3.064027615,0,17961,72994,55033,0.018727567,Cancer,65609,0.450314353,Myeloid
COAD13-nofacs#COAD13_T_A_36_36,COAD13_T_A_36_36,COAD13-nofacs,P09,15.557,33240,33479,3111,0.229515727,1,1.758889393,0,26436,72934,46498,0.021327502,Normal,76283,0.524101683,B
COAD13-nofacs#COAD13_T_A1_88_88,COAD13_T_A1_88_88,COAD13-nofacs,P09,15.091,35399,36923,3663,0.2535781,1,1.825913131,0,25763,72804,47041,0.025156585,Normal,79139,0.544486948,B
